CH1,CH2,CH3,CH4,Timestamp
-10276.533407315612,-9414.89482972771,-9578.619045838714,-9133.233378395438,1731337436.787786
-10902.38221347332,-10677.019367471337,-10973.96839043498,-9653.957036808133,1731337436.7877865
-11804.19947938621,-11789.071882411838,-12094.552358374,-10389.492021009326,1731337436.787788
-12643.2253626585,-12329.9145129323,-12516.160116821527,-11055.508261799812,1731337436.7877884
-13098.289088532329,-12079.137119039893,-12061.082254484296,-11386.959471330047,1731337436.78779
-12981.487769126892,-11105.283569768071,-10874.119747921824,-11235.82711276412,1731337436.7877903
-12313.641690313816,-9755.964176759124,-9386.417838290334,-10631.776819244027,1731337436.787792
-11324.803655356169,-8529.560682415962,-8152.721430033445,-9776.511022299528,1731337436.7877924
-10367.101030662656,-7870.937967717648,-7621.340061858296,-8965.897460117936,1731337436.787794
-9772.162198707461,-7988.826983451843,-7950.1996657550335,-8470.95914131403,1731337436.7877944
-9718.904182970524,-8781.875667616725,-8956.300081461668,-8431.77075880766,1731337436.7877965
-10170.553153127432,-9894.517152547836,-10205.353141620755,-8809.431680038571,1731337436.7877967
-10899.586060613394,-10860.676301151514,-11183.439905300736,-9409.19379092753,1731337436.7877991
-11579.174718230963,-11272.860146820545,-11480.395979434252,-9957.43660749495,1731337436.7877996
-11903.444981738925,-10927.578109323978,-10935.768762260675,-10202.717508465052,1731337436.7878027
-11700.816930040717,-9910.297170609236,-9711.225624501705,-10010.722843661904,1731337436.7878044
-11006.088608011603,-8581.331205666065,-8250.020041316748,-9421.79413433373,1731337436.7878065
-10057.555566638708,-7443.740482509136,-7110.5629079043865,-8642.648639962077,1731337436.7878067
-9207.532271042466,-6937.3458552360535,-6735.047432765365,-7967.070513501763,1731337436.787809
-8779.3302128762,-7257.202371791005,-7266.967513427138,-7657.017528012395,1731337436.7878091
-8936.524433866143,-8282.62373766303,-8503.733351707458,-7837.850466236472,1731337436.7878108
-9622.725903436542,-9636.648179769516,-9989.915818750858,-8452.465731412172,1731337436.7878113
-10589.73791731894,-10833.19326068461,-11192.285824909806,-9287.143426522613,1731337436.7878127
-11491.916674241424,-11448.740436568856,-11685.666717141867,-10051.174746215343,1731337436.787813
-12008.393537163734,-11268.886489540339,-11299.781904652715,-10479.64056520164,1731337436.7878149
-11957.34245686233,-10373.149017333984,-10191.175899922848,-10428.979493528605,1731337436.787815
-11368.35319082439,-9120.2357930094,-8801.804027706385,-9934.707932040095,1731337436.7878168
-10479.40375611186,-8015.3715290129185,-7692.02623590827,-9203.300545558333,1731337436.7878172
-9646.70185893774,-7503.641073957086,-7308.7551687806845,-8532.49128486216,1731337436.7878196
-9200.485150784254,-7787.480764120817,-7802.244938403368,-8191.218853771687,1731337436.78782
-9312.918851360679,-8754.625583961606,-8977.901163130999,-8313.56265501678,1731337436.7878218
-9936.731604218483,-10036.837368533015,-10389.014617100358,-8851.937285587192,1731337436.787822
-10832.661353245378,-11156.775271207094,-11511.56054008007,-9602.262793585658,1731337436.7878253
-11663.308092921972,-11699.4987462461,-11929.711939126253,-10282.953922569752,1731337436.7878258
-12114.935682982206,-11458.60992333293,-11482.01896290481,-10637.101461574435,1731337436.7878284
-12011.44756129384,-10520.101950392127,-10332.05741429329,-10527.494766622782,1731337436.7878325
-11386.296147227287,-9245.918328091502,-8924.985231280327,-9993.605357378721,1731337436.7878344
-10478.593441933393,-8139.500427395105,-7818.617896780372,-9242.501951277256,1731337436.787835
-9642.137126028538,-7638.673397526145,-7451.354215011001,-8568.522514134645,1731337436.7878368
-9201.275484979153,-7934.962031722069,-7961.293620347977,-8233.643545284867,1731337436.787837
-9320.170555055141,-8905.03042010963,-9141.933497324586,-8362.996185138822,1731337436.7878387
-9943.522280842066,-10172.499120503664,-10538.05889955163,-8900.074966952205,1731337436.7878392
-10825.684371322393,-11255.948161140084,-11621.548236012459,-9633.423858135939,1731337436.787841
-11625.12936887145,-11739.789985179901,-11976.14585402608,-10276.260136201978,1731337436.7878416
-12026.149754464626,-11419.258305773139,-11442.46387320757,-10568.799738317728,1731337436.7878432
-11852.889137685299,-10383.74035216868,-10188.109380349517,-10373.678625419736,1731337436.7878437
-11141.646946430206,-9000.355245694518,-8664.173113822937,-9733.633358031511,1731337436.7878451
-10136.85463860631,-7779.021814540029,-7435.652833968401,-8862.464888975024,1731337436.7878456
-9198.878905028105,-7164.166686579585,-6948.052299886942,-8063.505439460278,1731337436.7878475
-8658.070903271437,-7352.682636499405,-7345.128018528223,-7607.947063818574,1731337436.7878492
-8682.417424976826,-8224.197086423635,-8423.516799479723,-7628.221878871322,1731337436.7878516
-9217.276328504086,-9402.188227534294,-9728.010558485985,-8071.468289017677,1731337436.787852
-10014.18277812004,-10401.839960932732,-10727.21250078082,-8725.092818379402,1731337436.7878537
-10726.002385050058,-10801.822331815958,-10999.207734942436,-9296.607657521963,1731337436.787854
-11030.722126185894,-10391.796684116125,-10379.131425023079,-9518.35926565528,1731337436.7878556
-10747.944879770279,-9258.14859214425,-9031.662763506174,-9246.239545613527,1731337436.787856
-9912.256757169962,-7767.583428740501,-7407.333696424961,-8519.056764006615,1731337436.7878575
-8768.88722255826,-6430.84323900938,-6071.444629073143,-7549.429051071405,1731337436.787858
-7681.059735894203,-5693.9511051476,-5470.255692154169,-6641.887103110552,1731337436.7878606
-6983.947037011385,-5756.8164166510105,-5749.648339569569,-6071.151078552008,1731337436.7878609
-6852.536522477865,-6504.538426429033,-6711.147530555725,-5975.666692554951,1731337436.787863
-7241.759043484926,-7569.513504266739,-7908.401100039482,-6311.351213365793,1731337436.7878635
-7915.593131005764,-8479.814447939396,-8823.329218149185,-6877.455349236727,1731337436.7878652
-8541.970570147038,-8830.404901325703,-9051.04547816515,-7396.104337275028,1731337436.7878656
-8815.096910148859,-8428.301004976034,-8444.770980775356,-7615.116848737001,1731337436.7878675
-8569.287207692862,-7374.528511226177,-7184.1662138700485,-7403.495870232582,1731337436.7878678
-7849.433685272932,-6043.855508744717,-5727.463785290718,-6807.852478146553,1731337436.7878716
-6903.874463498592,-4945.22516849637,-4636.994706273079,-6041.120224893093,1731337436.7878718
-6089.261979490519,-4511.0684804320335,-4343.724390536547,-5399.057631880045,1731337436.7878747
-5723.77867564559,-4917.274533182383,-4967.9163159132,-5138.478336691856,1731337436.7878752
-5957.200164377689,-6019.368704110384,-6280.597874164581,-5373.198760569096,1731337436.7878776
-6715.171172380447,-7419.98058745265,-7805.55298152566,-6031.59712177515,1731337436.787878
-7732.209697782993,-8620.436943292618,-8998.526128947735,-6885.812256187201,1731337436.7878988
-8649.373152643442,-9193.57440367341,-9433.555256992579,-7633.799229323864,1731337436.7879
-9138.991113215685,-8930.67095631361,-8949.561343252659,-8004.7343708872795,1731337436.7879064
